timestamp;yawCorr;encoderR;I_L;odoDistance;ax;encoderL;I_R;yaw;eSpeedR;eSpeedL;pwmL;speedL;CycleTimeControl;wz;pwmR;speedR;Iyaw;hdg;m_y;m_x;eYaw;cycleTimeSense;
1603462862.09;0;0;20;0.0;-0.03125;0;20;0;20;20;49;0.0;14;0.312805175781;19;0.0;0;43.0834431317;34.3562011719;32.1313476562;0;13;
1603462862.15;0;0;40;0.0;0.139404296875;0;40;0;20;20;51;0.0;67;-11.344909668;49;0.0;0;43.5255333011;32.4122314453;30.7855224609;0;7;
1603462862.21;0;0;60;0.5;-0.0341796875;1;60;1;20;20;53;0;54;-44.3649291992;51;0.0;0;44.3023504957;30.3187255859;29.5892333984;1;6;
1603462862.26;0;0;60;1.0;-0.1083984375;2;80;2;20;0;41;20;55;-80.6732177734;53;0.0;0;42.9448865503;32.1131591797;29.8883056641;2;6;
1603462862.31;0;-1;60;0.5;0.04931640625;2;100;3;20;0;41;20;52;-99.5941162109;55;0;0;45.7009449527;30.9168701172;31.6827392578;3;6;
1603462862.37;0;-2;57;0.5;-0.012939453125;3;92;5;0;0;40;23;53;-101.127624512;42;28;0;48.3874611471;27.4775390625;30.9350585938;5;6;
1603462862.42;0;-2;54;0.5;0.126953125;3;84;5;0;0;40;23;56;-91.1026000977;41;28;0;52.2361671217;26.28125;33.92578125;5;6;
1603462862.48;0;-3;49;0.5;0.10791015625;4;78;7;0;0;39;25;54;-102.149963379;40;26;0;51.071178746;25.8326416016;31.9818115234;7;6;
1603462862.53;0;-4;44;0.0;-0.15478515625;4;74;8;0;0;39;25;52;-90.7440185547;40;24;0;55.7779799811;23.888671875;35.1220703125;8;6;
1603462862.58;0;-4;43;0.5;0.178466796875;5;70;9;0;0;39;21;56;-88.9129638672;40;24;0;55.3996988769;22.9914550781;33.3276367188;9;6;
1603462862.64;0;-5;42;0.0;-0.226806640625;5;69;10;0;0;39;21;53;-92.9565429688;39;21;0;60.0857966614;18.0567626953;31.3836669922;10;6;
1603462862.69;0;-5;44;0.5;-0.064697265625;6;68;11;0;2;40;18;54;-89.9887084961;39;21;0;62.3019482165;16.7109375;31.8322753906;11;6;
1603462862.75;0;-6;46;0.0;-0.18994140625;6;64;12;0;2;40;18;55;-93.8873291016;39;24;0;64.4525688357;15.2155761719;31.8322753906;12;6;
1603462862.8;0;-7;50;0.0;-0.27978515625;7;56;14;0;4;42;16;54;-97.0611572266;38;28;0;65.1826309341;15.0660400391;32.5799560547;14;8;
1603462862.86;0;-8;54;-0.5;0.099365234375;7;48;15;0;4;42;16;55;-74.089050293;37;28;0;68.5396536626;11.92578125;30.3369140625;15;7;
1603462862.91;0;-8;58;-0.5;0.009765625;7;40;15;0;4;43;16;54;-99.4186401367;37;28;0;65.7193284525;12.6734619141;28.0938720703;15;6;
1603462862.97;0;-9;64;-0.5;0.236572265625;8;24;17;0;6;45;14;56;-101.333618164;35;36;0;74.5207180991;7.73876953125;27.9443359375;17;6;
1603462863.02;0;-10;70;-1.0;-0.052490234375;8;13;18;0;6;45;14;52;-102.661132812;34;31;0;73.070231291;8.18737792969;26.8975830078;18;6;
1603462863.07;0;-11;76;-1.5;-0.255615234375;8;-2;19;0;6;46;14;54;-115.203857422;33;35;0;72.8152185032;7.43969726562;24.0563964844;19;6;
