timestamp;yawCorr;encoderR;I_L;odoDistance;ax;encoderL;I_R;yaw;eSpeedR;eSpeedL;pwmL;speedL;CycleTimeControl;wz;pwmR;speedR;Iyaw;hdg;m_y;m_x;eYaw;cycleTimeSense;
1603552427.49;0;0;50;0.0;-0.023681640625;0;50;0;50;50;70;0.0;4;1.84631347656;68;0.0;0;179.703281852;-18.0556640625;0.093505859375;0;7;
1603552427.54;0;0;100;0.0;0.541015625;0;100;0;50;50;75;0.0;54;-15.4113769531;73;0.0;0;182.856799002;-19.1024169922;-0.953247070312;0;7;
1603552427.59;0;0;150;0.0;0.029052734375;0;150;0;50;50;80;0.0;56;-11.4288330078;78;0.0;0;183.810722223;-21.0463867188;-1.40185546875;0;7;
1603552427.65;0;1;200;1.0;-0.1103515625;1;200;0;50;50;85;0;52;-16.4031982422;83;0;0;184.230196314;-18.9528808594;-1.40185546875;0;6;
1603552427.7;0;2;217;2.0;0.085693359375;2;219;0;19;17;66;33;52;-18.9895629883;66;31;0;184.897633382;-19.8500976562;-1.70092773438;0;6;
1603552427.75;2;3;207;3.5;0.301025390625;4;231;1;12;0;55;58;53;-21.8276977539;63;40;1;186.323319282;-20.7473144531;-2.29907226562;1;6;
1603552427.8;2;4;197;4.5;-0.259765625;5;236;1;5;0;54;58;54;-23.9334106445;59;47;2;184.825284069;-20.1491699219;-1.70092773438;1;6;
1603552427.86;2;5;195;5.5;-0.011474609375;6;246;1;10;0;54;50;53;-40.3366088867;63;42;3;187.241175052;-20.4482421875;-2.59814453125;1;6;
1603552427.91;2;6;194;6.5;0.1220703125;7;257;1;11;0;54;49;53;-27.1759033203;65;41;4;187.685907401;-20.1491699219;-1.70092773438;1;6;
1603552427.96;4;7;190;8.0;-0.472412109375;9;258;2;1;0;54;50;53;-17.8985595703;59;53;6;186.218626194;-18.3547363281;-2.0;2;7;
1603552428.02;2;9;189;9.5;0.495361328125;10;259;1;1;0;53;49;52;-11.0931396484;59;51;7;188.429173049;-19.5510253906;-2.89721679688;1;6;
1603552428.07;2;10;183;10.5;-0.47705078125;11;264;1;5;0;53;54;55;-22.9949951172;62;47;8;188.924674635;-19.4014892578;-3.04675292969;1;7;
1603552428.12;4;11;174;12.0;-0.11865234375;13;274;2;10;0;52;55;52;-14.9230957031;66;44;10;189.426499683;-19.251953125;-3.1962890625;2;7;
1603552428.17;2;13;173;13.5;0.302734375;14;268;1;0;0;52;49;52;1.16729736328;59;58;11;195.060937881;-19.1024169922;-5.14025878906;1;6;
1603552428.23;2;14;167;14.5;-0.39501953125;15;268;1;0;0;51;54;53;14.6560668945;59;52;12;188.691192695;-18.9528808594;-2.89721679688;1;6;
1603552428.28;2;15;172;15.5;-0.27197265625;16;262;1;0;5;55;43;54;15.6021118164;59;58;13;190.639961281;-19.4014892578;-3.64489746094;1;6;
1603552428.33;0;17;181;17.0;-0.40234375;17;247;0;0;9;58;41;52;25.6805419922;57;65;13;189.700215838;-20.4482421875;-3.49536132812;0;6;
1603552428.39;0;18;193;18.0;-0.338623046875;18;243;0;0;12;61;38;56;18.2113647461;57;54;13;189.429554234;-21.0463867188;-3.49536132812;0;6;
1603552428.44;0;19;198;19.0;0.6689453125;19;244;0;1;5;57;45;52;11.5127563477;58;49;13;189.09650343;-20.8968505859;-3.34582519531;0;6;
1603552428.5;0;21;200;21.0;-0.07958984375;21;246;0;2;2;56;48;54;2.15148925781;58;48;13;191.483918592;-20.1491699219;-4.09350585938;0;8;
1603552428.55;0;22;200;22.0;-0.038330078125;22;246;0;0;0;55;50;52;-12.0391845703;57;50;13;187.085032038;-19.7005615234;-2.44860839844;0;6;
1603552428.6;0;23;200;23.0;0.00048828125;23;251;0;5;0;55;50;53;-15.8996582031;61;45;13;188.060745838;-19.4014892578;-2.74768066406;0;10;
1603552428.65;0;24;189;24.0;0.033447265625;24;253;0;2;0;53;61;52;-19.3252563477;59;48;13;187.939948879;-19.7005615234;-2.74768066406;0;6;
1603552428.71;2;25;186;25.5;-0.109375;26;259;1;6;0;53;51;52;-24.1928100586;62;46;14;188.185249726;-19.1024169922;-2.74768066406;1;6;
1603552428.76;0;27;181;27.0;-0.021240234375;27;249;0;0;0;53;55;53;-7.86590576172;57;60;14;188.182385185;-20.1491699219;-2.89721679688;0;7;
1603552428.81;0;28;174;28.0;0.033935546875;28;250;0;1;0;52;57;52;-3.12805175781;58;49;14;193.414296196;-20.2987060547;-4.84118652344;0;6;
1603552428.86;2;29;167;29.5;-0.424560546875;30;243;1;0;0;51;55;52;-3.05938720703;57;59;15;191.978038946;-19.9996337891;-4.24304199219;1;6;
1603552428.91;0;31;161;31.0;-0.70654296875;31;246;0;3;0;51;56;52;-11.8942260742;59;47;15;194.010709192;-19.4014892578;-4.84118652344;0;7;
1603552428.97;0;32;153;32.0;-0.241943359375;32;243;0;0;0;50;58;54;-3.73077392578;57;53;15;188.828358426;-18.6538085938;-2.89721679688;0;6;
1603552429.02;2;33;146;33.5;-0.31787109375;34;242;1;0;0;49;55;53;3.05938720703;57;53;16;193.673284008;-18.0556640625;-4.392578125;1;6;
