timestamp;yawCorr;encoderR;I_L;odoDistance;ax;encoderL;I_R;yaw;eSpeedR;eSpeedL;pwmL;speedL;CycleTimeControl;wz;pwmR;speedR;Iyaw;hdg;m_y;m_x;eYaw;cycleTimeSense;
1603466959.65;0;0;25;0.0;-0.02685546875;0;25;0;25;25;52;0.0;23;0.221252441406;16;0.0;0;252.069366413;-5.19555664062;-16.0563964844;0;6;
1603466959.71;0;0;50;0.0;0.29150390625;0;50;0;25;25;55;0.0;57;-8.53729248047;53;0.0;0;253.562118111;-5.04602050781;-17.1031494141;0;6;
1603466959.76;0;-1;75;0.0;-0.188232421875;1;75;2;25;25;57;0;52;-24.1851806641;55;0;0;251.433794171;-5.64416503906;-16.8040771484;2;7;
1603466959.81;0;-1;100;0.0;0.037841796875;1;100;2;25;25;60;0;54;-70.80078125;58;0;0;258.305420572;-3.84973144531;-18.5985107422;2;6;
1603466959.87;0;-1;102;0.5;0.044189453125;2;125;3;25;2;46;23;54;-88.6611938477;60;0;0;261.388326459;-2.95251464844;-19.4957275391;3;6;
1603466959.92;0;-2;98;0.5;0.015869140625;3;132;5;7;0;44;29;53;-104.080200195;50;18;0;263.292630737;-2.20483398438;-18.748046875;5;6;
1603466959.97;0;-3;94;0.0;-0.11865234375;4;131;6;0;0;44;29;52;-112.182617188;46;26;0;271.091581107;0.337280273438;-17.7012939453;6;7;
1603466960.03;0;-4;89;0.0;-0.12109375;4;123;8;0;0;43;30;57;-124.465942383;45;33;0;279.249912512;3.02893066406;-18.5985107422;8;6;
1603466960.08;0;-4;85;0.5;0.109130859375;5;115;9;0;0;43;29;53;-142.631530762;44;33;0;288.773003729;6.16918945312;-18.1499023438;9;6;
1603466960.14;0;-5;80;0.5;-0.074951171875;6;109;11;0;0;43;30;54;-146.484375;43;31;0;291.205503979;7.21594238281;-18.5985107422;11;6;
1603466960.19;0;-6;74;0.5;-0.00830078125;7;95;13;0;0;42;31;54;-147.033691406;42;39;0;294.623741654;8.11315917969;-17.7012939453;13;9;
1603466960.24;0;-7;68;0.0;0.181640625;7;79;14;0;0;41;31;53;-130.867004395;40;41;0;310.579243361;12.5992431641;-14.7105712891;14;6;
